id;SoldToNumber;SoldToName;ShipToNumber;ShipToName;ShipToCity;ShipToCountry;Product;SellerNumber;SellerName;CMSCNumber;CMSCName
1;1000187;Sandoz GmbH;2130931;Sandoz GmbH;Kundl;Austria;N-Butyl Acetate;60025;Bodo Ott;101064;Anna-Lena Niewerth
2;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;N-Butanol;60050;Christian Kneist;101064;Anna-Lena Niewerth
3;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;I-Butanol;60050;Christian Kneist;101064;Anna-Lena Niewerth
4;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;N-Propanol;60050;Christian Kneist;101064;Anna-Lena Niewerth
5;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;2-Ethyl Hexanol;60050;Christian Kneist;101064;Anna-Lena Niewerth
6;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;N-Propyl Acetate;60050;Christian Kneist;101064;Anna-Lena Niewerth
7;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;N-Butyl Acetate;60050;Christian Kneist;101064;Anna-Lena Niewerth
8;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;I-Butyl Acetate;60050;Christian Kneist;101064;Anna-Lena Niewerth
9;1000218;Nufarm GmbH & Co. KG;2131631;Nufarm GmbH & Co. KG;Linz;Austria;2-Ethyl Hexanol;60025;Bodo Ott;101064;Anna-Lena Niewerth
10;1000218;Nufarm GmbH & Co. KG;2131631;Nufarm GmbH & Co. KG;Linz;Austria;Isopropylamine;60025;Bodo Ott;101064;Anna-Lena Niewerth
11;1000224;DIC Performance Resins GmbH;2131704;DIC Performance Resins GmbH;Wien;Austria;TMP;60065;Giorgio Sassi;101064;Anna-Lena Niewerth
12;1000224;DIC Performance Resins GmbH;2131704;DIC Performance Resins GmbH;Wien;Austria;N-Propyl Acetate;60065;Giorgio Sassi;101064;Anna-Lena Niewerth
13;1000224;DIC Performance Resins GmbH;2131704;DIC Performance Resins GmbH;Wien;Austria;N-Butyl Acetate;60065;Giorgio Sassi;101064;Anna-Lena Niewerth
14;1000260;Clariant (Australia) Pty. Ltd.;2000179;CLARIANT (AUSTRALIA) PTY LTD;Melbourne;Australia;Zorgols;60004;Rudolf Pohl;100909;Fiona Tan
15;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;1,3-Butylene Glycol;60191;Cedric Chua;101054;Valerie Quek
16;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;TCD Alcohol M;60191;Cedric Chua;101054;Valerie Quek
17;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;Pelargonic Acid;60191;Cedric Chua;101054;Valerie Quek
18;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;2-Ethylhexanoic Acid;60191;Cedric Chua;101054;Valerie Quek
19;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;Isononanoic Acid;60191;Cedric Chua;101054;Valerie Quek
20;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;Dibutylamine;60191;Cedric Chua;101054;Valerie Quek
21;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;Butylamine;60191;Cedric Chua;101054;Valerie Quek
22;1000293;Oleon N.V.;2000242;Oleon N.V.;Oelegem;Belgium;1,3-Butylene Glycol;60051;Johan Rinckhout;100091;Nicole Krawczyk
23;1000293;Oleon N.V.;2000242;Oleon N.V.;Oelegem;Belgium;Pelargonic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
24;1000293;Oleon N.V.;2000242;Oleon N.V.;Oelegem;Belgium;Isononanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
25;1000293;Oleon N.V.;2136271;Mervielde NV Transport;Ertvelde;Belgium;1,3-Butylene Glycol;60051;Johan Rinckhout;100091;Nicole Krawczyk
26;1000293;Oleon N.V.;2136271;Mervielde NV Transport;Ertvelde;Belgium;Pelargonic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
