id;SoldToNumber;SoldToName;ShipToNumber;ShipToName;ShipToCity;ShipToCountry;Product;SellerNumber;SellerName;CMSCNumber;CMSCName
1;500048;ONE TIME CUSTOMER FRANCE;2002146;Brenntag Cotes d'Azur;La Pointe de Contes;France;Isononanol;60056;Vincent Larger;#;Not assigned
2;500064;ONE TIME CUSTOMER JAPAN;2074436;TOYO GOSEI CO., LTD.;ICHIKAWA-SHI;Japan;2-Ethylhexanoic Acid;60073;Keisuke Itakura;#;Not assigned
3;500099;ONE TIME CUSTOMER TURKEY;500099;ONE TIME CUSTOMER TURKEY;#;Turkey;Heptanoic Acid;60025;Bodo Ott;100070;Randal Hunter
4;500099;ONE TIME CUSTOMER TURKEY;500099;ONE TIME CUSTOMER TURKEY;#;Turkey;Pelargonic Acid;60025;Bodo Ott;100070;Randal Hunter
5;1000016;CELANESE SINGAPORE PTE. LTD.;2000010;CELANESE SINGAPORE PTE LTD;SINGAPORE;Singapore;N-Butanol;60191;Cedric Chua;100909;Fiona Tan
6;1000016;CELANESE SINGAPORE PTE. LTD.;2000010;CELANESE SINGAPORE PTE LTD;SINGAPORE;Singapore;N-Butanol;60191;Cedric Chua;101054;Valerie Quek
7;1000157;BASF Argentina S.A.;2135982;BASF Argentina S.A.;Buenos Aires;Argentina;TMP;60066;Rodrigo Valente;100999;Jesica Analía Gómez
8;1000157;BASF Argentina S.A.;2135982;BASF Argentina S.A.;Buenos Aires;Argentina;TMP;60066;Rodrigo Valente;101059;Laura Couto Junqueira
9;1000187;Sandoz GmbH;2130931;Sandoz GmbH;Kundl;Austria;N-Butyl Acetate;60025;Bodo Ott;101064;Anna-Lena Niewerth
10;1000199;Axalta Coating Systems Austria GmbH;2131585;Axalta Coating Systems Austria GmbH;Guntramsdorf;Austria;N-Butyl Acetate;60055;Joan Bardina Tomas;101064;Anna-Lena Niewerth
11;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;TMP;60050;Christian Kneist;101064;Anna-Lena Niewerth
12;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;N-Butanol;60050;Christian Kneist;101064;Anna-Lena Niewerth
13;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;I-Butanol;60050;Christian Kneist;101064;Anna-Lena Niewerth
14;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;N-Propanol;60050;Christian Kneist;101064;Anna-Lena Niewerth
15;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;2-Ethyl Hexanol;60050;Christian Kneist;101064;Anna-Lena Niewerth
16;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;N-Propyl Acetate;60050;Christian Kneist;101064;Anna-Lena Niewerth
17;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;N-Butyl Acetate;60050;Christian Kneist;101064;Anna-Lena Niewerth
18;1000216;Brenntag Austria GmbH;2132054;Brenntag Austria GmbH;Wien;Austria;I-Butyl Acetate;60050;Christian Kneist;101064;Anna-Lena Niewerth
19;1000218;Nufarm GmbH & Co. KG;2131631;Nufarm GmbH & Co. KG;Linz;Austria;2-Ethyl Hexanol;60025;Bodo Ott;101064;Anna-Lena Niewerth
20;1000218;Nufarm GmbH & Co. KG;2131631;Nufarm GmbH & Co. KG;Linz;Austria;Isopropylamine;60025;Bodo Ott;101064;Anna-Lena Niewerth
21;1000224;DIC Performance Resins GmbH;2131704;DIC Performance Resins GmbH;Wien;Austria;TMP;60065;Giorgio Sassi;101064;Anna-Lena Niewerth
22;1000224;DIC Performance Resins GmbH;2131704;DIC Performance Resins GmbH;Wien;Austria;N-Propanol;60065;Giorgio Sassi;101064;Anna-Lena Niewerth
23;1000224;DIC Performance Resins GmbH;2131704;DIC Performance Resins GmbH;Wien;Austria;N-Propyl Acetate;60065;Giorgio Sassi;101064;Anna-Lena Niewerth
24;1000224;DIC Performance Resins GmbH;2131704;DIC Performance Resins GmbH;Wien;Austria;N-Butyl Acetate;60065;Giorgio Sassi;101064;Anna-Lena Niewerth
25;1000260;Clariant (Australia) Pty. Ltd.;2000179;CLARIANT (AUSTRALIA) PTY LTD;Melbourne;Australia;Zorgols;60004;Rudolf Pohl;100909;Fiona Tan
26;1000260;Clariant (Australia) Pty. Ltd.;2000180;CLARIANT (AUSTRALIA) PTY LTD;SYDNEY;Australia;Zorgols;60004;Rudolf Pohl;100909;Fiona Tan
27;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;1,3-Butylene Glycol;60191;Cedric Chua;101054;Valerie Quek
28;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;N-Butanol;60191;Cedric Chua;101054;Valerie Quek
29;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;2-Ethyl Hexanol;60191;Cedric Chua;101054;Valerie Quek
30;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;TCD Alcohol M;60191;Cedric Chua;101054;Valerie Quek
